.ähnl.,ähnlich,,
.Bed.,Bedeutung,,
.Bez.,Bezeichnung,,
,,.d.,der
.dgl.,dergleichen,,
.Füg.,Fügungen,,
.Komp.,Komposita,,
.Syn.,Synonyme,,
.Untersch.,Unterschied,,
.Vb.,Verba,,
.Volksüberlieferg.,Volksüberlieferung,,
.zw.,zwischen,,
Füg.,Fügungen,,
Komp.,Komposita,,
Lagebez.,Lagebezeichnung,,
Ortsang.,Ortsangabe,,
Sprichw.,Sprichworte,,
Subst.,Substantiva,,
Vb.,Verba,,
Vgl.,Vergleiche,,
,,a.,am
,,A.,Auge
,,ä.,ähnlich
Abb.,Abbildung,,
abergläub.,abergläubische,,
abgel.,abgeleitetes,,
Abl.,Ableitungen,,
Ableitg.,Ableitung ,,
Abrechng.,Abrechnung,,
Abschuppg.,Abschuppung,,
Abschwächg.,Abschwächung,,
absichtl.,absichtlich,,
Abteilg.,Abteilung,,
Abweisg.,Abweisung,,
Abzahlg.,Abzahlung,,
ACHTG.,ACHTUNG,,
Ackerbez.,Ackerbezeichnungen,,
Ackerg.,Ackerung,,
Adj.,Adjektiv,,
adj.,adjektivische,,
adv.,adverbielle,,
Adv.,Adverbien,,
ähnl.,ähnlich,,
Ährenbildg.,Ährenbildung,,
allg.,allgemein,,
Allg.,Allgemein,,
Allgemeinbez.,Allgemeinbezeichnung,,
almrechtl.,almrechtlich,,
Almwirtsch.,Almwirtschaft,,
altdt.,altdeutsche,,
Altersversorgg.,Altersversorgung,,
Ammenspr.,Ammensprache,,
amtl.,amtlich,,
,,Ang.,Angabe
angebl.,angebliche,,
angr.,angrenzende,,
anlt.,anlautendem,,
Anordng.,Anordnung,,
Anwendg.,Anwendung,,
ärgerl.,ärgerlich,,
Art.,Artikel,,
Artikelgebr.,Artikelgebrauch,,
ärztl.,ärztliche,,
ASg.,Akkusativ_Singular,,
Aufbahrg.,Aufbahrung,,
Aufbewahrg.,Aufbewahrung,,
Aufforderg.,Aufforderung,,
Aufhängevorrichtg.,Aufhängevorrichtung,,
Aufzählg.,Aufzählung,,
Ausbildg.,Ausbildung,,
Ausdr.,Ausdruck,,
Ausdünstg.,Ausdünstung,,
Ausführg.,Ausführung,,
ausg.,ausgenommen,,
ausgespr.,ausgesprochen,,
ausschließl.,ausschließlich,,
Ausspr.,Aussprache,,
Ausstattg.,Ausstattung,,
,,B.,Bauer
,,b.,bei
b.d.,bei der,,
bäuerl.,bäuerliche,,
Baumkrankh.,Baumkrankheit,,
Bd.,Bedeutung,,
Bearbeitg.,Bearbeitung,,
bed.,bedeutet,,
Bed.,Bedeutung,,
Befestigg.,Befestigung,,
Befiederg.,Befiederung,,
befindl.,befindlich,,
Begleitg.,Begleitung,,
Behaarg.,Behaarung,,
Behandlg.,Behandlung,,
behördl.,behördliche,,
Beisp.,Beispiele,,
Beistellg.,Beistellung,,
Beiw.,Beiworte,,
Beleidigg.,Beleidigung,,
Belustigg.,Belustigung,,
Benenng.,Benennung,,
Berechtigg.,Berechtigung,,
Bereitg.,Bereitung,,
Bergmannsspr.,Bergmannssprache,,
berufl.,beruflichen,,
Berufsbez.,Berufsbezeichnung,,
Berufskleidg.,Berufskleidung,,
bes.,besondere,,
Beschaffenh.,Beschaffenheit,,
Beschr.,Beschreibung,,
Beschreibg.,Beschreibung,,
Besonderh.,Besonderheit,,
best.,bestimmte,,
Bestimmg.,Bestimmung,,
Betätigg.,Betätigung,,
Beteuerg.,Beteuerung,,
Betong.,Betonung,,
betr.,betreffend,,
Beugg.,Beugung,,
Beurteilg.,Beurteilung,,
Beutelvorrichtg.,Beutelvorrichtung,,
Bevölkerg.,Bevölkerung,,
Bewegg.,Bewegung,,
bewegl.,beweglich,,
Bewertg.,Bewertung,,
Bewirtg.,Bewirtung,,
Bewirtschaftg.,Bewirtschaftung,,
bez.,bezeichnet,,
Bez.,Bezeichnung,,
Bezeichng.,Bezeichung,,
bezügl.,bezüglich,,
bibl.,biblisch,,
Bildg.,Bildung,,
bildl.,bildlich,,
Blähg.,Blähung,,
Blutkrankh.,Blutkrankheit,,
Bodenauflockerg.,Bodenauflockerung,,
Bodenerhebg.,Bodenerhebung,,
bosh.,boshafte,,
Brandrodg.,Brandrodung,,
Bremswirkg.,Bremswirkung,,
Broteigensch.,Broteigenschaften,,
Bw.,Bestimmungswort,,
bzgl.,bezüglich,,
bzw.,beziehungsweise,,
Charaktereigensch.,Charaktereigenschaften,,
charakterist.,charakteristisch,,
Chauffeurspr.,Chauffeursprache,,
,,d.,der
d.h.,das heißt,,
Darmsaitenerzeugg.,Darmsaitenerzeugung,,
Darstellg.,Darstellung,,
DASg.,Dativ Akkusativ Singular,,
ddj.,Adjektiv,,
Dem.,Deminutiv,,
ders.,derselben,,
dgl.,dergleichen,,
Dienstesbez.,Dienstesbezeichnungen,,
dies.,dieselbe,,
div.,diverse,,
DPl.,Dativ_Plural,,
Drehg.,Drehung,,
Drehkrankh.,Drehkrankheit,,
Drehvorrichtg.,Drehvorrichtung,,
Drüsenkrankh.,Drüsenkrankheit,,
DSg.,Dativ Singular,,
,,e.,ein
ebs.,ebenso,,
Ehescheidg.,Ehescheidung,,
eig.,eigentlich,,
Eigensch.,Eigenschaften,,
eigentl.,eigentlich,,
Einrichtg.,Einrichtung,,
Einsenkg.,Einsenkung,,
Einteilg.,Einteilung,,
Einzelbez.,Einzelbezeichnungen,,
Einzelh.,Einzelheiten,,
Einzelw.,Einzelworte,,
empfindl.,empfindlicher,,
engl.,englischer,,
Entferng.,Entfernung,,
entspr.,entsprechende,,
Entsprechg.,Entsprechung,,
Entstehg.,Entstehung,,
entw.,entweder,,
Entzündg.,Entzündung,,
erg.,ergänze,,
Erkrankg.,Erkrankungen,,
Erläuterg.,Erläuterung,,
ernsth.,ernsthaft,,
erot.,erotische,,
Ersatzw.,Ersatzwörter,,
Erscheing.,Erscheinung,,
Ersetzg.,Ersetzung,,
etc.,et cetera,,
etw.,etwas,,
,,F.,Femininum
,,f.,für
f.d.,für den,,
Fachw.,Fachwörter,,
Fahrtrichtg.,Fahrtrichtung,,
Fangvorrichtg.,Fangvorrichtung,,
Farbbez.,Farbbezeichnungen,,
Färbg.,Färbung,,
Farbschattierg.,Farbschattierung,,
feierl.,feierliches,,
Feldbestellg.,Feldbestellung,,
Feldteilg.,Feldteilung,,
festl.,festlichen,,
Fischnetzherstellg.,Fischnetzherstellung,,
Flex.,Flexion,,
Flößerspr.,Flößersprache,,
Flüssigk.,Flüssigkeit,,
formelh.,formelhafte,,
Fr.,Freitag,,
Fremdw.,Fremdwörter,,
fremdw.,fremdwörtliche,,
Füg.,Fügungen,,
Fütterg.,Fütterung,,
,,g.,gehen
,,G.,Gentiana
Gaunerspr.,Gaunersprache,,
Gebr.,Gebrauch,,
gebr.,gebräuchlich,,
gebräuchl.,gebräuchlich,,
gegensätzl.,gegensätzliche,,
geistl.,geistlichen,,
Gelenkskrankh.,Gelenkskrankheiten,,
Gem.,Gemeine,,
gem.,gemeiner,,
Gemeinsch.,Gemeinschaft,,
Gerichtsverhandlg.,Gerichtsverhandlung,,
Gesamtausdr.,Gesamtausdruck,,
Gesamtbenenng.,Gesamtbenennung,,
Gesamtbez.,Gesamtbezeichnung,,
Gesamth.,Gesamtheit,,
geschichtl.,geschichtliche,,
Geschl.,Geschlecht,,
geschl.,geschlossenes,,
geschlechtl.,geschlechtliche,,
Geschwindigk.,Geschwindigkeit,,
Geschwürbildg.,Geschwürbildung,,
gespr.,gesprochen,,
Gesundh.,Gesundheit,,
gewerbl.,gewerblich,,
Gewinng.,Gewinnung,,
Gewohnh.,Gewohnheiten,,
gewöhnl.,gewöhnlichem,,
Ggs.,Gegensatz,,
gleichbed.,gleichbedeutend,,
gottesdienstl.,gottesdienstliche,,
gr.,große,,
gründl.,gründliche,,
GSg.,Genitiv_Singular,,
Gw.,Grundwort,,
,,H.,Hand
,,h.,heißt
Hä.,Hände,,
Haltg.,Haltung,,
Handhaltg.,Handhaltung,,
Handlg.,Handlung,,
Handwerksspr.,Handwerkssprache,,
Handwerkstätigk.,Handwerkstätigkeit,,
Häufigk.,Häufigkeit,,
Haupttätigk.,Haupttätigkeit,,
häusl.,häuslichen,,
Hautkrankh.,Hautkrankheit,,
heidn.,heidnischer,,
Heilg.,Heilung,,
heiml.,heimlich,,
Heiratsvermittlg.,Heiratsvermittlung,,
Heizöffng.,Heizöffnung,,
Herkunftsbez.,Herkunftsbezeichnungen,,
herrschaftl.,herrschaftliche,,
Herstellg.,Herstellung,,
Hilfsvb.,Hilfsverb,,
hl.,heilige,,
Hl.,Heiliger,,
i.d.,in den,,
Inf.,Infinitiv,,
insbes.,insbesonders,,
insit.,insititia,,
Interj.,Interjektionen,,
intr.,intransitiv,,
Jägerspr.,Jägersprache,,
jägersprl.,jägersprachlich,,
jem.,jemandem,,
Joh.,Johannes,,
jugendl.,jugendliche,,
Jungg.,Junggeselle,,
,,k.,kleinen
,,K.,Korb
Karfr.,Karfreitag,,
Kinderspr.,Kindersprache,,
kindersprl.,kindersprachliche,,
Kj.,Konjunktiv,,
kl.,kleine,,
Kleidg.,Kleidung,,
Knochenkrankh.,Knochenkrankheit,,
Komp.,Komposita,,
Kompar.,Komparativ,,
körperl.,körperliche,,
Körperwaschg.,Körperwaschung,,
korr.,korrigiert,,
kosmet.,kosmetisches,,
Kr.,Kronen,,
krankh.,krankhafter,,
Krankh.,Krankheit,,
Krankheitserscheing.,Krankheitserscheinung,,
Kreuzn.,Kreuznaht,,
Kriegsw.,Kriegswort,,
küchensprl.,küchensprachlich,,
Kundsch.,Kundschaft,,
künstl.,künstlich,,
Kutscherausdr.,Kutscherausdrücke,,
,,L.,Lactuca
,,l.,laufen
Lagerg.,Lagerung,,
landschaftl.,landschaftliche,,
landwirtsch.,landwirtschaftlich,,
landwirtschaftl.,landwirtschaftlichen,,
lat.,lateinischen,,
latein.,lateinischer,,
Lediggeblieb.,Lediggebliebenen,,
leibl.,leibliche,,
Leitg.,Leitung,,
Ltg.,Lautung,,
,,m.,mit
Männerkleidg.,Männerkleidung,,
männl.,männliche,,
Maßbez.,Maßbezeichnungen,,
Maßeinh.,Maßeinheit,,
Mda.,Mundart,,
mdal.,mundartlich,,
Mdal.,Mundartliche,,
medizin.,medizinischem,,
menschl.,menschlichen,,
militär.,militärischer,,
Mitteilg.,Mitteilung,,
moral.,moralische,,
mundartl.,mundartlicher,,
myrtenähnl.,myrtenähnliche,,
,,N.,Neutrum
nächtl.,nächtlicher,,
Nachtr.,Nachträge,,
nachträgl.,nachträglich,,
namentl.,namentlich,,
natürl.,natürlich,,
Nebenbed.,Nebenbedeutung,,
Nebengebr.,Nebengebrauch,,
Nenng.,Nennung,,
Notwendigk.,Notwendigkeit,,
Nov.,November,,
,,o.,oben
ob.,obere,,
Obj.,Objekt,,
Obstmostbereitg.,Obstmostbereitung,,
od.,oder,,
öffentl.,öffentlichem,,
Okt.,Oktober,,
Ordng.,Ordnung,,
örtl.,örtliche,,
Ortsang.,Ortsangabe,,
Ortsbestimmg.,Ortsbestimmung,,
Ortsbez.,Ortsbezeichnung,,
ortsübl.,ortsüblich,,
,,P.,Prunus
Parallelfüg.,Parallelfügungen ,,
Pass.,Passivs,,
pers.,persönlicher,,
persönl.,persönliche,,
Pferdehaltg.,Pferdehaltung,,
Pferdewartg.,Pferdewartung,,
pflanzl.,pflanzlicher,,
photograph.,photographisches,,
Pl.,Plural,,
pl.,pluralisch,,
plauderh.,plauderhafte,,
plötzl.,plötzlichen,,
polizeil.,polizeilich,,
poln.,polnische,,
PPr.,Partizip Präsens,,
PPt.,Partizip Perfekt,,
Pr.,Präsens,,
Präf.,Präfix,,
Präp.,Präposition,,
Qualitätsbez.,Qualitätsbezeichnungen,,
,,R.,Ring
Ra.,Redensarten,,
Ratscherb.,Ratscherbuben,,
Räumlichk.,Räumlichkeit,,
rechtl.,rechtlichem,,
rhythm.,rhythmische,,
Richtg.,Richtung,,
Richtungsbez.,Richtungsbezeichnung,,
rundl.,rundliche,,
Sachang.,Sachangaben,,
sachl.,sachliche,,
Sachl.,Sachliches,,
Sammelausdr.,Sammelausdruck,,
Sammelbez.,Sammelbezeichnungen,,
sämtl.,sämtliche,,
Sauerkrautbereitg.,Sauerkrautbereitung,,
sc.,scilicet,,
schädl.,schädlich,,
Scharlachkrankh.,Scharlachkrankheit,,
Scheißb.,Scheißbauer,,
Scheltbez.,Scheltbezeichnungen,,
Schenkg.,Schenkung,,
scherzh.,scherzhaft,,
